"","datadate","gvkey","viol","Year","Month","Day","Date","gvkey.1","datadate.1","Year.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","datacqtr.1","gvkey.2","cikSEC","nameSEC"
"12",3312006,1104,1,2006,3,31,"31.03.2006",1104,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",26.238,30.442,0.99,3.485,0.01,7.785,6.857,15.679,1.5,2.632,12.257,14.763,0.131,0,0.035,0,"A",0.03,0.03,14.01,"2004Q1",1104,2098,"ACME UNITED CORP"
"13",3312007,1109,1,2007,3,31,"31.03.2007",1109,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",4.088,6.567,1.198,5.232,1.695,0,2.937,2.937,-0.521,0.997,1.369,3.63,0,0,0.041,0,"I",0,0,1.61,"2004Q1",1109,747435,"ACTION PRODUCTS INTERNATIONAL INC"
"14",12312006,1109,1,2006,12,31,"31.12.2006",1109,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",4.249,6.75,0.527,5.232,1.219,0,2.583,2.583,-0.819,1,2.11,4.167,0,0,0.091,0.001,"I",0,0,1.5307,"2004Q1",1109,747435,"ACTION PRODUCTS INTERNATIONAL INC"
"15",3312007,1117,1,2007,3,31,"31.03.2007",1117,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",27.36,34.017,11.775,13.342,0,0,1.989,1.989,-0.555,0.905,4.631,32.028,0,0,0.083,0,"A",0,0,4,"2004Q1",1117,2186,"RELM WIRELESS CORP"
"16",1312004,1173,1,2004,1,31,"31.01.2004",1173,"31.01.2004",2004,2003,4,"INDL","C","D","STD","USD","2003Q4","2003Q4",14.904,18.985,1.276,3.921,1.2,2.216,7.232,9.47,0.028,3.954,6.651,9.515,0.022,0,0.419,0,"I",0,0,7.85,"2004Q1",1173,109471,"AEROSONIC CORP /DE/"
"17",7312007,1173,1,2007,7,31,"31.07.2007",1173,"31.07.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",12.292,17.422,0.26,3.569,0.23,2.215,5.006,7.597,-1.607,3.23,5.292,9.825,0.006,0,0.339,0,"I",0,0,7.39,"2004Q1",1173,109471,"AEROSONIC CORP /DE/"
"18",10312007,1173,1,2007,10,31,"31.10.2007",1173,"31.10.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",13.729,19.216,0.481,3.574,0.306,5.592,4.162,9.985,0.011,2.259,7.427,9.231,0.006,1,0.559,0,"I",0,0,5.75,"2004Q1",1173,109471,"AEROSONIC CORP /DE/"
"19",3312004,1210,1,2004,3,31,"31.03.2004",1210,"31.03.2004",2004,2003,4,"INDL","C","D","STD","USD","2004Q1","2003Q4",14.416,19.574,1.308,2.687,0.095,0.185,6.088,7.897,1.43,3.271,18.338,11.677,0,0,1.261,0.179,"A",0,0,5.3,"2004Q1",1210,353184,"AIR T INC"
"20",3312007,1239,1,2007,3,31,"31.03.2007",1239,"31.03.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q1","2007Q2",801.076,1399.827,312.022,97.411,0.736,122.084,289.216,500.756,NA,196.103,279.59,899.071,23.223,0,18.532,0.876,"I",0.055,0.055,22.88,"2004Q1",1239,3327,"ALBERTO CULVER CO"
"21",9302006,1239,1,2006,9,30,"30.09.2006",1239,"30.09.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q3","2006Q4",1428.801,2582.597,305.95,93.239,1.088,122.322,590.848,823.668,49.455,354.026,368.141,1758.929,43.527,26.995,80.341,1.553,"I",0.13,0.13,50.59,"2004Q1",1239,3327,"ALBERTO CULVER CO"
"22",12312006,1239,1,2006,12,31,"31.12.2006",1239,"31.12.2006",2006,2007,1,"INDL","C","D","STD","USD","2006Q4","2007Q1",721.958,1315.555,244.511,94.652,0.664,122.045,294.2,472.888,NA,215.555,351.128,842.667,3.981,0,9.703,0.876,"I",25,25,21.45,"2004Q1",1239,3327,"ALBERTO CULVER CO"
"23",5312007,1266,1,2007,5,31,"31.05.2007",1266,"31.05.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q2","2007Q3",141.194,299.52,79.819,7.364,1.347,67.377,94.87,171.117,11.537,131.767,62.188,128.403,0,0,7.141,1.106,"A",0.275,0.275,59.94,"2004Q1",1266,3545,"ALICO INC"
"24",8312007,1266,1,2007,8,31,"31.08.2007",1266,"31.08.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q3","2007Q4",127.216,280.887,81.067,7.357,1.35,135.539,17.519,161.941,-0.468,128.99,9.071,118.946,0,0,9.138,1.484,"A",0.275,0.275,51.15,"2004Q1",1266,3545,"ALICO INC"
"25",3312004,1308,1,2004,3,31,"31.03.2004",1308,"31.03.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",9.918,53.015,0.491,19.633,4.888,26.476,11.13,38.28,1.649,31.92,9.661,10.684,0,0,1.411,0,"I",0,0,1.1,"2004Q1",1308,3982,"ALLIS CHALMERS CORP"
"26",9302006,1360,1,2006,9,30,"30.09.2006",1360,"30.09.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q3","2006Q2",11.033,20.929,2.031,3.995,4.734,1.563,12.469,15.607,-1.359,7.552,13.563,5.322,0.17,0,1.604,0,"I",0,0,2.46,"2004Q1",1360,4317,"SENTO CORP"
"27",12312006,1360,1,2006,12,31,"31.12.2006",1360,"31.12.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q4","2006Q3",10.559,19.985,1.875,4.016,3.182,1.604,11.403,14.531,-2.341,7.315,12.495,5.454,0.149,0,1.942,0,"I",0,0,2.29,"2004Q1",1360,4317,"SENTO CORP"
"28",3312004,1382,1,2004,3,31,"31.03.2004",1382,"31.03.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",782.602,1598.172,440.778,35.888,113.696,648.492,681.706,1474.165,28.28,612.679,649.327,124.007,0,0,36.979,0,"I",0,0,9.53,"2004Q1",1382,701345,"US AIRWAYS GROUP INC"
"29",12312004,1382,1,2004,12,31,"31.12.2004",1382,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",624.977,1475.264,317.006,35.986,154.658,640.19,664.716,1438.817,-43,656.535,697,36.447,0,0,219.383,0,"I",0,0,6.58,"2004Q1",1382,701345,"US AIRWAYS GROUP INC"
"30",3312007,1397,1,2007,3,31,"31.03.2007",1397,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",184.494,330.646,28.969,3.442,37.885,8.401,142.15,312.124,6.68,103.225,100.031,17.534,4.065,0,0.656,0,"A",0,0,9.31,"2004Q1",1397,4611,"AMERICAN BILTRITE INC"
"31",12312004,1397,1,2004,12,31,"31.12.2004",1397,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",192.414,355.285,50.373,3.442,38.447,2.79,141.221,316.59,4.197,124.07,108.764,38.072,16.531,0,5.855,0,"A",0,0,11.4,"2004Q1",1397,4611,"AMERICAN BILTRITE INC"
"32",12312005,1397,1,2005,12,31,"31.12.2005",1397,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",204.937,356.844,40.828,3.442,39.513,1.963,157.192,336.994,-4.229,115.336,114.054,18.485,21.343,1.4,6.885,0,"A",0,0,10.85,"2004Q1",1397,4611,"AMERICAN BILTRITE INC"
"33",12312006,1397,1,2006,12,31,"31.12.2006",1397,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",182.322,331.672,30.836,3.442,33.708,8.971,141.44,312.55,4.387,106.38,97.877,18.035,4.095,0,6.417,0,"A",0,0,9.18,"2004Q1",1397,4611,"AMERICAN BILTRITE INC"
"34",12312007,1397,1,2007,12,31,"31.12.2007",1397,"31.12.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",177.394,321.799,36.686,3.442,32.685,6.725,136.219,300.837,5.016,99.153,97.733,19.869,1.337,0,6.219,0,"A",0,0,5,"2004Q1",1397,4611,"AMERICAN BILTRITE INC"
"35",12312005,1496,1,2005,12,31,"31.12.2005",1496,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",10.666,15.099,1.278,1.546,0.138,2.178,3.305,6.627,-1.35,4.376,7.015,8.472,0,0,0.476,0,"A",0,0,5.92,"2004Q1",1496,8855,"AMERICAN LOCKER GROUP INC"
"36",12312006,1496,1,2006,12,31,"31.12.2006",1496,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",10.315,14.47,2.508,1.55,0.152,2.026,2.407,5.215,0.124,4.077,5.772,9.255,0,0,0.099,0,"A",0,0,4.35,"2004Q1",1496,8855,"AMERICAN LOCKER GROUP INC"
"37",12312007,1496,1,2007,12,31,"31.12.2007",1496,"31.12.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",7.446,12.416,1.562,1.55,0.097,2.047,2.128,4.658,-1.474,4.513,3.872,7.758,0,0,0.818,0,"A",0,0,3.75,"2004Q1",1496,8855,"AMERICAN LOCKER GROUP INC"
"38",3312006,1523,1,2006,3,31,"31.03.2006",1523,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",8.178,30.531,1.92,8.892,1.116,4.276,5.54,11.31,1.235,8.644,7.15,19.221,1.037,2.953,1.13,0,"I",0,0,6.27,"2004Q1",1523,700721,"AMERICAN MEDICAL ALERT CORP"
"39",6302006,1523,1,2006,6,30,"30.06.2006",1523,"30.06.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",8.41,30.928,1.45,8.95,1.115,3.997,5.724,11.277,1.278,9.043,7.797,19.651,1.028,3.191,2.117,0,"I",0,0,6.15,"2004Q1",1523,700721,"AMERICAN MEDICAL ALERT CORP"
"40",9302007,1523,1,2007,9,30,"30.09.2007",1523,"30.09.2007",2007,2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",9.421,35.213,1.309,9.319,1.572,4.921,5.526,12.018,1.619,10.326,8.771,23.195,1.028,0.475,3.223,0,"I",0,0,9.04,"2004Q1",1523,700721,"AMERICAN MEDICAL ALERT CORP"
"41",12312006,1523,1,2006,12,31,"31.12.2006",1523,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",7.217,32.608,0.856,9.186,1.567,5.752,4.029,11.263,1.585,9.308,8.063,21.345,0.992,4.529,3.563,0,"I",0,0,6.69,"2004Q1",1523,700721,"AMERICAN MEDICAL ALERT CORP"
"42",12312007,1523,1,2007,12,31,"31.12.2007",1523,"31.12.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",8.672,34.953,0.912,9.339,1.456,4.726,5.071,11.282,1.611,10.799,9.272,23.671,0.947,0.481,4.543,0.02,"I",0,0,7.03,"2004Q1",1523,700721,"AMERICAN MEDICAL ALERT CORP"
"43",6302004,1606,1,2004,6,30,"30.06.2004",1606,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",5.754,9.634,1.939,3.082,2.8,0,3.881,3.881,NA,3.827,2.057,5.753,0,0,0.251,0,"I",0,0,2.62,"2004Q2",1606,741559,"AMISTAR CORP"
"44",9302004,1606,1,2004,9,30,"30.09.2004",1606,"30.09.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",6.493,10.297,1.866,3.094,3.3,0,5.443,5.443,NA,3.753,0.553,4.854,0,0,0.264,0,"I",0,0,2.83,"2004Q2",1606,741559,"AMISTAR CORP"
"45",12312004,1606,1,2004,12,31,"31.12.2004",1606,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",12.469,13.288,5.96,3.143,2.7,0,5.931,9.706,NA,0.351,0.841,3.582,0,0,0.266,0,"I",0,0,3.88,"2004Q2",1606,741559,"AMISTAR CORP"
"46",3312004,1642,1,2004,3,31,"31.03.2004",1642,"31.03.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q1","2004Q2",11.575,15.782,0.858,1.865,2.696,0,10.711,10.711,-0.686,2.421,4.126,5.071,0,0,0.005,0,"I",0,0,1.629,"2004Q1",1642,778808,"CROWN ANDERSEN INC"
"47",6302004,1642,1,2004,6,30,"30.06.2004",1642,"30.06.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q2","2004Q3",11.135,15.262,1.829,1.865,3.673,0,10.915,10.915,-0.512,2.373,3.787,4.347,0,0,0.027,0,"I",0,0,1.92,"2004Q1",1642,778808,"CROWN ANDERSEN INC"
"48",9302007,1651,1,2007,9,30,"30.09.2007",1651,"30.09.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q3","2007Q4",1250.488,2350.533,154.992,156.024,333.682,11.333,898.954,967.995,59.621,215.56,624.438,1382.538,0,53.67,57.819,20.425,"I",0,0,13.85,"2004Q1",1651,317093,"ANDREW CORP"
"49",7312006,1655,1,2006,7,31,"31.07.2006",1655,"31.07.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",115.436,328.494,5.788,9.424,0.246,86.501,80.834,183.319,5.452,99.006,105.286,145.175,0,0,4.002,0,"I",0.11,0.11,16.85,"2004Q1",1655,6571,"ANGELICA CORP /NEW/"
"50",6302004,1677,1,2004,6,30,"30.06.2004",1677,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",499.988,887.622,18.173,35.58,43.44,157.335,197.935,405.079,19.115,96.551,250.987,482.543,38.636,28.672,14.258,0,"I",0,0,15.7,"2004Q1",1677,6720,"K2 INC"
"51",3312004,1712,1,2004,3,31,"31.03.2004",1712,"31.03.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",4.465,53.793,0.295,22.432,14.932,0,31.635,31.786,-0.262,48.517,10.624,21.175,0,0,0.291,0,"A",0,0,0.04,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"52",3312005,1712,1,2005,3,31,"31.03.2005",1712,"31.03.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",7.016,53.842,0.257,22.432,14.915,4.342,24.935,29.44,3.917,46.108,17.386,23.587,0,0,0.855,0,"A",0,0,0.6,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"53",6302004,1712,1,2004,6,30,"30.06.2004",1712,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",4.086,53.131,0.162,22.432,14.879,0,31.029,31.183,0.517,48.442,12.674,21.118,0,0,0.491,0,"A",0,0,0.04,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"54",9302004,1712,1,2004,9,30,"30.09.2004",1712,"30.09.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",6.638,55.67,0.163,22.432,19.139,5.128,26.513,31.831,2.453,48.549,14.895,23.021,0,0,0.87,0,"A",0,0,0.05,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"55",12312004,1712,1,2004,12,31,"31.12.2004",1712,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",5.065,51.048,0.623,22.432,14.815,4.916,25.493,30.584,-0.032,45.402,18.011,19.647,0,0,2.206,0,"A",0,0,0.14,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"56",12312005,1712,1,2005,12,31,"31.12.2005",1712,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",15.876,66.948,1.739,22.432,12.452,9.839,17.988,29.857,-0.487,48.52,21.666,36.283,0.297,0,3.875,0,"A",0,0,1.46,"2004Q1",1712,7039,"ARABIAN AMERICAN DEVELOPMENT CO"
"57",2282006,1783,1,2006,2,28,"28.02.2006",1783,"28.02.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",10.832,13.293,1.115,1.968,0.178,2.603,3.241,5.844,0.543,2.169,4.302,7.449,0,0,0.334,0,"A",0,0,5.89,"2004Q1",1783,7623,"ARTS WAY MANUFACTURING CO INC"
"58",12312004,1823,1,2004,12,31,"31.12.2004",1823,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",24.482,45.236,9.476,7.8,0.908,11.154,6.378,22.576,-0.512,15.221,8.338,22.66,0,0,1.136,0,"A",0,0,5.1,"2004Q2",1823,8063,"ASTRONICS CORP"
"59",2282005,1866,1,2005,2,28,"28.02.2005",1866,"28.02.2005",2005,2004,3,"INDL","C","D","STD","USD","2005Q1","2004Q3",20.195,30.606,1.538,4.791,2.719,2.191,15.042,17.588,-0.098,5.963,8.941,13.018,0,0,0.321,0,"I",0,0,2.56,"2004Q1",1866,723639,"AULT INC"
"60",2292004,1866,1,2004,2,29,"29.02.2004",1866,"29.02.2004",2004,2003,3,"INDL","C","D","STD","USD","2004Q1","2003Q3",19.434,30.413,0.989,4.695,5.402,2.352,12.932,15.543,-0.231,10.813,10.73,14.87,0.023,0,0.21,0,"I",0,0,3.05,"2004Q1",1866,723639,"AULT INC"
"61",5312004,1866,1,2004,5,31,"31.05.2004",1866,"31.05.2004",2004,2003,4,"INDL","C","D","STD","USD","2004Q2","2003Q4",18.985,29.835,1.058,4.705,5.11,2.313,13.308,15.824,-0.413,10.673,12.429,14.011,0,0,0.322,0,"I",0,0,2.98,"2004Q1",1866,723639,"AULT INC"
"62",5312005,1866,1,2005,5,31,"31.05.2005",1866,"31.05.2005",2005,2004,4,"INDL","C","D","STD","USD","2005Q2","2004Q4",12.639,16.807,2.191,4.806,0.29,0,7.373,7.373,-1.438,2.375,9.716,9.434,0,0,0.347,0,"I",0,0,2.49,"2004Q1",1866,723639,"AULT INC"
"63",8312004,1866,1,2004,8,31,"31.08.2004",1866,"31.08.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q3","2004Q1",20.75,31.347,1.425,4.765,2.597,2.276,14.824,17.349,0.029,5.999,10.336,13.998,0,0,0.031,0,"I",0,0,3.05,"2004Q1",1866,723639,"AULT INC"
"64",11302004,1866,1,2004,11,30,"30.11.2004",1866,"30.11.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q4","2004Q2",18.713,29.162,1.247,4.779,2.294,2.219,13.184,15.691,-0.182,5.926,8.223,13.471,0,0,0.122,0,"I",0,0,3.23,"2004Q1",1866,723639,"AULT INC"
"65",1312007,1878,1,2007,1,31,"31.01.2007",1878,"31.01.2007",2007,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",1189.7,1797.5,777.9,231.1,0,0,574.2,682.5,142.2,65.6,497.4,1115,0,52.5,35.3,154.4,"A",0,0,43.72,"2004Q1",1878,769397,"AUTODESK INC"
"66",4302007,1878,1,2007,4,30,"30.04.2007",1878,"30.04.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",1384.5,1989.4,964,231.166,0,0,585,745.2,128.1,63.9,508.6,1244.2,0,0,6.8,0,"A",0,0,41.27,"2004Q1",1878,769397,"AUTODESK INC"
"67",7312006,1878,1,2006,7,31,"31.07.2006",1878,"31.07.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",835.9,1475.5,468.2,230.237,0,0,496.8,580.5,108.7,64.8,449.6,895,0,43.5,18.4,154.4,"A",0,0,34.11,"2004Q1",1878,769397,"AUTODESK INC"
"68",7312007,1878,1,2007,7,31,"31.07.2007",1878,"31.07.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",1264.9,1878.1,826.9,229.331,0,0,597.5,765.4,139,66.5,525.8,1112.7,0,21.3,18.2,325.1,"A",0,0,42.37,"2004Q1",1878,769397,"AUTODESK INC"
"69",10312006,1878,1,2006,10,31,"31.10.2006",1878,"31.10.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q3","2006Q3",968.6,1600.3,597.3,230.919,0,0,512.2,599.7,104.2,64.1,456.8,1000.6,0,52.5,25.4,154.4,"A",0,0,36.75,"2004Q1",1878,769397,"AUTODESK INC"
"70",3312004,1902,1,2004,3,31,"31.03.2004",1902,"31.03.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",10.847,22.226,1.997,10.555,2.705,1.675,7.91,9.585,0.112,10.419,7.34,12.641,0,0,0.165,0,"I",0,0,4.25,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"71",3312006,1902,1,2006,3,31,"31.03.2006",1902,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",13.075,20.818,4.454,10.803,1.987,3.479,7.322,10.801,-0.993,6.667,7.487,10.017,0,0,0.193,0,"I",0,0,5.98,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"72",3312007,1902,1,2007,3,31,"31.03.2007",1902,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",6.961,13.607,1.264,10.895,3.862,3.82,8.192,12.012,-0.232,5.89,1.671,1.595,0,0,0.083,0,"I",0,0,2.7299,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"73",6302004,1902,1,2004,6,30,"30.06.2004",1902,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",10.835,22.511,2.449,10.648,2.719,1.395,8.209,9.604,0.334,10.787,7.991,12.907,0,0,0.812,0,"I",0,0,4.449,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"74",6302006,1902,1,2006,6,30,"30.06.2006",1902,"30.06.2006",2006,2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",10.331,17.801,3.32,10.897,1.987,3.57,6.204,9.774,-1.602,6.483,6.523,8.027,0,0,0.284,0,"I",0,0,3.6899,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"75",9302005,1902,1,2005,9,30,"30.09.2005",1902,"30.09.2005",2005,2005,3,"INDL","C","D","STD","USD","2005Q3","2005Q3",8.857,20.999,1.37,10.786,3.328,0.756,8.248,9.004,-1.263,11.54,5.632,11.995,0,0,0.647,0,"I",0,0,4.21,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"76",9302006,1902,1,2006,9,30,"30.09.2006",1902,"30.09.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q3","2006Q3",9.701,16.942,1.684,10.897,2.016,3.679,6.959,10.638,-1.156,6.315,6.656,6.304,0,0,0.325,0,"I",0,0,3.94,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"77",12312005,1902,1,2005,12,31,"31.12.2005",1902,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",14.038,21.989,6.262,10.803,2,3.418,7.063,10.481,-2.208,6.755,5.809,11.508,0,0,0.61,0,"I",0,0,4.73,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
"78",12312006,1902,1,2006,12,31,"31.12.2006",1902,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",7.097,13.998,0.878,10.895,2.014,3.745,6.061,9.806,-1.494,6.093,6.74,4.192,0,0,0.383,0,"I",0,0,2.8488,"2004Q1",1902,718007,"CARRINGTON LABORATORIES INC /TX/"
